VideoName,ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
00170.mp4,1,28,B,1,1,1,1,1,1,1,1,1,1,X
00170.mp4,2,54,A,1,1,1,1,1,1,1,1,1,1,X
00170.mp4,3,94,B,1,1,1,1,1,1,1,1,1,1,X
00170.mp4,4,108,A,1,1,1,1,1,1,1,1,1,1,X
00170.mp4,5,137,B,1,1,1,1,1,1,1,1,1,1,X
00170.mp4,6,160,A,1,1,1,1,1,1,1,1,1,1,X
00170.mp4,7,189,B,1,1,1,1,1,1,1,1,1,1,A
00172.mp4,1,8,B,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,2,29,A,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,3,63,B,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,4,70,A,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,5,77,B,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,6,101,A,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,7,136,B,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,8,147,A,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,9,184,B,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,10,195,A,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,11,203,B,1,1,1,1,1,1,1,1,1,1,X
00172.mp4,12,264,A,1,1,1,1,1,1,1,1,1,1,A
00173.mp4,1,19,B,1,1,1,1,1,1,1,1,1,1,X
00173.mp4,2,38,A,1,1,1,1,1,1,1,1,1,1,X
00173.mp4,3,64,B,1,1,1,1,1,1,1,1,1,1,X
00173.mp4,4,80,A,1,1,1,1,1,1,1,1,1,1,X
00173.mp4,5,85,B,1,1,1,1,1,1,1,1,1,1,X
00173.mp4,6,102,A,1,1,1,1,1,1,1,1,1,1,X
00173.mp4,7,128,B,1,1,1,1,1,1,1,1,1,1,X
00173.mp4,8,137,A,1,1,1,1,1,1,1,1,1,1,X
00173.mp4,9,159,B,1,1,1,1,1,1,1,1,1,1,X
00173.mp4,10,165,A,1,1,1,1,1,1,1,1,1,1,A
00174.mp4,1,35,A,1,1,1,1,1,1,1,1,1,1,X
